ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(6.7825e+07)","Runtime Improvement""""(3.52359e+07)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
218,33.33,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.78,2.26,41.11,40.23,38,"    1,    4,  256","  256,    1,    1"
222,33.33,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.69,2.23,41.33,40.44,38,"    1,    4,  256","  256,    1,    1"
226,33.33,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.46,2.15,40.75,39.87,38,"    1,    4,  256","  256,    1,    1"
230,33.33,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.56,2.19,40.67,39.79,38,"    1,    4,  256","  256,    1,    1"
234,33.33,vectorized_elementwise_kernel,..unnamed>::leaky_relu_kernel..TensorIteratorBase..Scalar..instance..operator..,8.10,2.70,13.57,71.34,18," 2750,    1,    1","  128,    1,    1"
237,33.33,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,10.43,3.48,6.24,75.06,16," 2304,    1,    1","  128,    1,    1"
471,33.33,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..float16_copy_kernel_cuda..TensorIteratorBase..,9.25,3.08,4.56,69.07,16," 2048,    1,    1","  128,    1,    1"
650,33.33,nhwcToNchwKernel,..engines_precompiled::nhwcToNchwKernel<__half..nhwc2nchw_params_t<T3..,9.41,3.14,37.16,67.73,40,"  172,    8,    1","  256,    1,    1"
760,33.33,vectorized_elementwise_kernel,..unnamed>::leaky_relu_kernel..TensorIteratorBase..Scalar..instance..operator..,8,2.67,9.86,71.85,18," 2750,    1,    1","  128,    1,    1"
762,33.33,vectorized_elementwise_kernel,"..vectorized_elementwise_kernel..CUDAFunctor_add..Half>, std::array<char..",12,4.00,9.19,76.55,22," 2750,    1,    1","  128,    1,    1"
765,33.33,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.75,2.25,38.26,37.43,38,"    1,    4,  256","  256,    1,    1"
769,33.33,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.82,2.27,38.69,37.86,38,"    1,    4,  256","  256,    1,    1"
773,33.33,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.78,2.26,39.24,38.39,38,"    1,    4,  256","  256,    1,    1"
777,33.33,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.75,2.25,38.89,38.06,38,"    1,    4,  256","  256,    1,    1"
789,33.33,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.72,2.24,39.55,38.70,38,"    1,    4,  256","  256,    1,    1"
801,33.33,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.75,2.25,39.63,38.77,38,"    1,    4,  256","  256,    1,    1"
805,33.33,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.82,2.27,39.19,38.34,38,"    1,    4,  256","  256,    1,    1"
813,33.33,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.62,2.21,38.99,38.15,38,"    1,    4,  256","  256,    1,    1"
825,33.33,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.75,2.25,38.57,37.74,38,"    1,    4,  256","  256,    1,    1"
833,33.33,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.66,2.22,39.52,38.67,38,"    1,    4,  256","  256,    1,    1"
837,33.33,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.78,2.26,39.02,38.18,38,"    1,    4,  256","  256,    1,    1"
841,33.33,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.78,2.26,38.85,38.01,38,"    1,    4,  256","  256,    1,    1"
845,33.33,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.91,2.30,39.17,38.33,38,"    1,    4,  256","  256,    1,    1"
853,33.33,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.78,2.26,38.76,37.92,38,"    1,    4,  256","  256,    1,    1"
861,33.33,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.72,2.24,38.04,37.22,38,"    1,    4,  256","  256,    1,    1"
869,33.33,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.62,2.21,38.77,37.94,38,"    1,    4,  256","  256,    1,    1"
877,33.33,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.85,2.28,39.09,38.24,38,"    1,    4,  256","  256,    1,    1"
1273,32.11,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_aligna8_alignc2_execute_kernel__5x_cudnn,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_aligna8_alignc2_execute_kernel__5x_cudnn,61.60,19.78,34.24,84.02,108,"    1, 2747,    1","  128,    1,    1"
1275,31.76,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_aligna8_alignc2_execute_kernel__5x_cudnn,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_aligna8_alignc2_execute_kernel__5x_cudnn,61.73,19.60,34.15,82.78,108,"    1, 2747,    1","  128,    1,    1"
27,31.33,_5x_cudnn_ampere_fp16_scudnn_fp16_128x128_relu_small_nn_v1,_5x_cudnn_ampere_fp16_scudnn_fp16_128x128_relu_small_nn_v1,117.09,36.69,60.06,47.33,128,"  688,    1,    1","  256,    1,    1"
25,31.33,_5x_cudnn_ampere_fp16_scudnn_fp16_128x128_relu_small_nn_v1,_5x_cudnn_ampere_fp16_scudnn_fp16_128x128_relu_small_nn_v1,116.86,36.61,59.96,47.26,128,"  688,    1,    1","  256,    1,    1"
21,30.92,_5x_cudnn_ampere_fp16_scudnn_fp16_128x128_relu_medium_nn_v1,_5x_cudnn_ampere_fp16_scudnn_fp16_128x128_relu_medium_nn_v1,117.63,36.37,60.37,47.02,128,"  688,    1,    1","  256,    1,    1"
23,30.78,_5x_cudnn_ampere_fp16_scudnn_fp16_128x128_relu_medium_nn_v1,_5x_cudnn_ampere_fp16_scudnn_fp16_128x128_relu_medium_nn_v1,118.14,36.37,60.38,47.04,128,"  688,    1,    1","  256,    1,    1"
984,30.10,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,16.70,5.03,46.24,69.90,38,"  688,    4,    1","  256,    1,    1"
821,30.04,nchwToNhwcKernel,..engines_precompiled::nchwToNhwcKernel<__half..nchw2nhwc_params_t<T3..,6.66,2.00,38.65,37.80,38,"    1,    4,  256","  256,    1,    1"
